id,name,date
1001,博丽灵梦L1,2021/9/30
1002,雾雨魔理沙L1,2021/9/30
1003,蕾米莉亚·斯卡雷特L1,2021/9/30
1004,芙兰朵露·斯卡雷特L1,2021/9/30
1005,十六夜咲夜L1,2021/9/30
1006,帕秋莉·诺蕾姬L1,2021/9/30
1007,红美铃L1,2021/9/30
1008,小恶魔L1,2021/10/28
1009,八云紫L1,2021/9/30
1010,西行寺幽幽子L1,2021/9/30
1011,魂魄妖梦L1,2021/9/30
1012,莉莉怀特L1,2021/9/30
1013,八云蓝L1,2021/9/30
1014,橙L1,2021/9/30
1015,铃仙·优昙华院·因幡L1,2021/9/30
1016,绵月丰姬L1,2022/1/12
1017,绵月依姬L1,2022/1/12
1018,八意永琳L1,2021/10/28
1019,蓬莱山辉夜L1,2021/10/28
1020,藤原妹红L1,2021/11/4
1021,清兰L1,2021/11/25
1022,铃瑚L1,2021/11/25
1023,铃仙L1,2021/11/25
1024,圣白莲L1,2021/11/11
1025,茨木华扇L1,2021/9/30
1026,本居小铃L1,2021/12/9
1029,稗田阿求L1,2021/12/9
1030,琪露诺L1,2021/9/30
1031,大妖精L1,2021/9/30
1032,爱丽丝·玛格特罗伊德L1,2021/9/30
1033,桑尼米尔克L1,2021/9/30
1034,露娜切露德L1,2021/9/30
1035,斯塔萨菲雅L1,2021/9/30
1036,梅蒂欣·梅兰可莉L1,2021/9/30
1037,东风谷早苗L1,2021/9/30
1038,八坂神奈子L1,2021/12/2
1039,洩矢诹访子L1,2021/12/2
1040,河城荷取L1,2021/9/30
1042,因幡帝L1,2021/11/25
1043,宇佐见堇子L1,2022/4/26
1044,射命丸文L1,2021/12/2
1045,姬海棠果L1,2021/12/2
1046,犬走椛L1,2022/1/19
1047,坂田合欢L1,2022/1/19
1048,伊吹萃香L1,2021/10/30
1049,星熊勇仪L1,2021/11/30
1050,古明地觉L1,2021/12/29
1051,古明地恋L1,2021/12/29
1052,火焰猫燐L1,2022/3/29
1053,灵乌路空L1,2022/3/29
1054,小野塚小町L1,2021/11/18
1055,四季映姬·夜摩仙那度L1,2021/11/18
1056,赫卡提亚·拉碧斯拉祖利L1,2022/2/10
1057,纯狐L1,2022/3/17
1058,克劳恩皮丝L1,2022/3/1
1059,秋静叶L1,2021/12/29
1060,秋穰子L1,2021/12/29
1061,键山雏L1,2022/4/12
1062,露娜萨·普莉兹姆利巴L1,2022/6/28
1063,梅露兰·普莉兹姆利巴L1,2022/6/28
1064,莉莉卡·普莉兹姆利巴L1,2022/6/28
1065,依神女苑L1,2022/1/5
1066,依神紫苑L1,2022/1/5
1067,九十九弁弁L1,2022/1/5
1068,九十九八桥L1,2022/1/5
1069,摩多罗隐岐奈L1,2021/12/16
1070,尔子田里乃L1,2021/12/22
1071,丁礼田舞L1,2021/12/22
1072,上白泽慧音L1,2021/11/4
1073,露米娅L1,2021/10/28
1074,寅丸星L1,2022/2/1
1075,村纱水蜜L1,2022/1/19
1076,多多良小伞L1,2022/4/5
1077,若鹭姬L1,2022/5/10
1078,今泉影狼L1,2022/3/22
1079,赤蛮奇L1,2022/3/22
1080,哆来咪·苏伊特L1,2022/3/8
1081,稀神探女L1,2022/3/8
1082,二岩猯藏L1,2022/5/3
1083,高丽野阿吽L1,2022/3/15
1084,风见幽香L1,2022/2/15
1085,霍青娥L1,2022/2/22
1086,宫古芳香L1,2022/2/22
1087,秦心L1,2021/12/22
1088,蕾蒂·霍瓦特洛克L1,2022/6/7
1089,比那名居天子L1,2022/1/25
1090,永江衣玖L1,2022/1/25
1091,丰聪耳神子L1,2021/11/11
1092,物部布都L1,2022/7/19
1093,苏我屠自古L1,2022/7/19
1094,鬼人正邪L1,2022/5/31
1095,少名针妙丸L1,2022/5/31
1096,幽谷响子L1,2022/11/15
1097,米斯蒂娅·萝蕾拉L1,2022/6/28
1098,莉格露·奈特巴格L1,2022/10/4
1099,水桥帕露西L1,2022/5/17
1100,黑谷山女L1,2022/9/20
1101,琪斯美L1,2022/7/26
1102,娜兹玲L1,2022/8/30
1103,云居一轮L1,2022/11/1
1104,封兽鵺L1,2022/5/3
1105,堀川雷鼓L1,2021/12/9
1106,矢田寺成美L1,2023/1/10
1107,爱塔妮缇拉尔瓦L1,2022/10/4
1108,埴安神袿姬L1,2022/10/18
1109,杖刀偶磨弓L1,2022/12/13
1110,骊驹早鬼L1,2022/2/22
1111,吉吊八千慧L1,2022/4/5
1112,庭渡久侘歌L1,2022/9/6
1113,牛崎润美L1,2022/8/2
1114,戎璎花L1,2023/1/10
1116,饕餮尤魔L1,2023/9/26
1117,豪德寺三花L1,2023/4/25
1118,山城高岭L1,2023/5/23
1119,驹草山如L1,2023/2/14
1120,玉造魅须丸L1,2022/12/6
1121,菅牧典L1,2023/3/21
1122,饭纲丸龙L1,2023/2/7
1123,天弓千亦L1,2023/2/28
1124,姬虫百百世L1,2023/3/28
1125,茨木童子之臂L1,2023/6/13
2001,博丽灵梦F1,2022/12/13
2002,雾雨魔理沙Z1,2022/1/1
2003,蕾米莉亚·斯卡雷特E9,2022/8/2
2005,十六夜咲夜E1,2022/11/29
2006,帕秋莉·诺蕾姬A6,2022/9/6
2007,红美铃E1,2023/1/17
2008,小恶魔E1,2023/2/21
2010,西行寺幽幽子R2,2022/2/1
2011,魂魄妖梦R8,2022/3/1
2013,八云蓝A7,2023/1/10
2015,铃仙·优昙华院·因幡B5,2022/12/20
2016,绵月丰姬B3,2022/6/21
2017,绵月依姬B3,2022/6/7
2019,蓬莱山辉夜B3,2022/10/25
2020,藤原妹红B5,2023/4/4
2021,清兰B3,2023/4/18
2022,铃瑚B3,2023/4/25
2023,铃仙B3,2023/1/3
2024,圣白莲A12,2022/10/17
2030,琪露诺A6,2022/5/24
2031,大妖精A6,2023/8/1
2032,爱丽丝·玛格特罗伊德A7,2022/11/1
2033,桑尼米尔克A6,2023/3/13
2036,梅蒂欣·梅兰可莉B5,2023/12/19
2038,八坂神奈子A10,2022/6/14
2039,洩矢诹访子A10,2022/11/22
2040,河城荷取A10,2022/8/9
2042,因幡帝Y5,2023/6/13
2044,射命丸文A9,2022/7/12
2050,古明地觉S2,2023/3/7
2051,古明地恋F1,2023/3/7
2054,小野塚小町B3,2023/11/14
2055,四季映姬·夜摩仙那度B3,2023/11/21
2057,纯狐B2,2022/8/23
2072,上白泽慧音H5,2023/10/10
2073,露米娅A6,2023/4/17
2080,哆来咪·苏伊特H5,2023/9/26
2081,稀神探女B3,2022/9/6
2084,风见幽香H5,2023/6/20
2091,丰聪耳神子A13,2022/12/27
2097,米斯蒂娅·萝蕾拉H5,2023/10/17
2098,莉格露·奈特巴格H5,2023/10/24
2115,奥野田美宵C3,2023/6/6
3001,博丽灵梦B3,2022/5/10
3002,雾雨魔理沙B3,2022/5/10
3004,芙兰朵露·斯卡雷特E1,2022/7/19
3005,十六夜咲夜B3,2022/4/1
3006,帕秋莉·诺蕾姬E1,2023/1/31
3007,红美铃A6,2023/7/31
3008,小恶魔A6,2023/7/18
3009,八云紫A7,2022/8/11
3010,西行寺幽幽子A7,2023/2/6
3011,魂魄妖梦B3,2022/4/1
3015,铃仙·优昙华院·因幡B3,2022/4/19
3018,八意永琳A8,2022/9/13
3020,藤原妹红L80,2023/5/23
3032,爱丽丝·玛格特罗伊德L80,2023/2/14
3037,东风谷早苗B3,2022/4/19
3038,八坂神奈子L80,2023/7/4
3050,古明地觉A11,2022/12/26
3051,古明地恋A11,2022/11/21
3084,风见幽香A6,2023/9/4
4001,博丽灵梦A6,2022/5/30
4002,雾雨魔理沙A6,2022/7/7
4003,蕾米莉亚·斯卡雷特A6,2023/5/22
4004,芙兰朵露·斯卡雷特A6,2023/6/26
4005,十六夜咲夜A6,2022/8/30
4009,八云紫C3,2022/10/1
4011,魂魄妖梦A7,2022/7/26
4015,铃仙·优昙华院·因幡A8,2022/7/5
4032,爱丽丝·玛格特罗伊德B5,2023/12/26
4037,东风谷早苗A10,2022/6/21
4050,古明地觉L80,2023/5/9
4051,古明地恋C3,2023/8/15
5001,博丽灵梦A7A,2023/10/3
5002,雾雨魔理沙A7A,2023/10/3
5003,蕾米莉亚·斯卡雷特L80,2023/1/22
5004,芙兰朵露·斯卡雷特L80,2023/9/19
5011,魂魄妖梦L80,2023/7/18
5050,古明地觉C3,2023/8/1
5052,火焰猫燐S5,2023/5/9
5053,灵乌路空S5,2023/5/16
5056,赫卡提亚·拉碧斯拉祖利B3,2023/8/29
6001,博丽灵梦A7B,2023/10/3
6002,雾雨魔理沙A7B,2023/10/3
6003,蕾米莉亚·斯卡雷特C3,2023/10/1
6004,芙兰朵露·斯卡雷特C3,2023/10/15
6005,十六夜咲夜L80,2023/2/21
6056,赫卡提亚·拉碧斯拉祖利C3,2022/11/8
6112,庭渡久侘歌B3,2023/11/7
19001,博丽灵梦C3,2023/4/15
19002,雾雨魔理沙C3,2023/4/1
19009,八云紫A6,2023/10/9
19032,爱丽丝·玛格特罗伊德A6,2023/8/29
19037,东风谷早苗F1,2023/11/7
8002,雾雨魔理沙L80,2023/12/19
4020,藤原妹红A8,2023/12/18
6062,露娜萨·普莉兹姆利巴B5,2024/1/2
6063,梅露兰·普莉兹姆利巴B5,2024/1/9
6064,莉莉卡·普莉兹姆利巴B5,2024/1/16
18005,十六夜咲夜A7A,2024/1/16
19005,十六夜咲夜A7B,2024/1/16
2014,橙A7,2024/1/22
2076,多多良小伞C3,2023/12/26
8032,爱丽丝·玛格特罗伊德Z3,2023/2/6
3019,蓬莱山辉夜L80,2024/2/10
7042,因幡帝A8,2024/2/26
6024,圣白莲T5,2024/2/27
5015,铃仙·优昙华院·因幡L80,2024/3/5
6089,比那名居天子T5,2024/3/12
11003,蕾米莉亚·斯卡雷特Z3,2024/3/26
6010,西行寺幽幽子A6,2024/4/1
2937,宇佐见莲子LR1,2024/4/2
3905,玛艾露贝莉·赫恩LM1,2024/4/16
7044,射命丸文Lr,2024/4/23
6040,河城荷取Lr,2024/4/30
7011,魂魄妖梦A6,2024/5/6
13002,雾雨魔理沙Cz1,2024/5/12
7062,露娜萨·普莉兹姆利巴A6,2024/6/10
5037,东风谷早苗L80,2024/6/18
6087,秦心Lr,2024/6/18
5010,西行寺幽幽子C3,7/2
8001,博丽灵梦L80,2024/7/9
7063,梅露兰·普莉兹姆利巴A6,2024/7/15
6011,魂魄妖梦C3,2024/7/16
12004,芙兰朵露·斯卡雷特Lr,2024/7/16
6049,星熊勇仪W5,2024/7/30
4010,西行寺幽幽子L80,2024/8/6
5025,茨木华扇W5,2024/8/13
2079,赤蛮奇C3,2024/8/13
7064,莉莉卡·普莉兹姆利巴A6,2024/8/19
6025,茨木华扇L80,2024/8/20
2089,比那名居天子C3,2024/9/3
8038,八坂神奈子W2,2024/9/3
4007,红美铃L80,2024/9/10
8039,洩矢诹访子W2,2024/9/17
6094,鬼人正邪A14,2024/9/23
5051,古明地恋L80,2024/9/24
2066,依神紫苑C3,2024/10/1
5089,比那名居天子A6,2024/10/1
7037,东风谷早苗L0g,2024/10/8
15004,芙兰朵露·斯卡雷特C5>,2024/10/15
12104,封兽鵺A12&,2024/10/21
7095,少名针妙丸A14,2024/10/28
6039,洩矢诹访子L80,2024/10/29
2048,伊吹萃香W1,2024/10/29
15051,古明地恋C5>,2024/11/5
3024,圣白莲C3,2024/11/19
2037,东风谷早苗W5,2024/11/26
7085,霍青娥A13,2024/12/2
25001,博丽灵梦L10.1,2024/12/3
25002,雾雨魔理沙L10.1,2024/12/17
50001,油库里灵梦AA,2024/12/23
50002,油库里魔理沙AA,2024/12/23
10069,摩多罗隐岐奈L80,2024/12/24
10107,爱塔妮缇拉尔瓦A16&,2024/12/31
2065,依神女苑C3,2025/1/6
5087,秦心B3,2025/1/14
5068,八桥B3,2025/1/21
5067,弁弁B3,2025/1/28
2927,幻月,2025/1/29
3926,梦月,2025/2/11
8058,皮丝A15&,2025/2/4
11050,觉Z3,2025/2/11
3054,小町C3,2025/2/18
8099,帕露西W3,2025/2/18
7073,露米娅A6&,2025/2/25
16006,帕秋莉L80,2025/3/4
2087,秦心C3,2025/3/11
3030,琪露诺A7,2025/3/11
2025,华扇C3,2025/3/18
11044,文C3<,2025/4/1
20005,咲夜A9.4&,2025/4/8
50030,油库里琪露诺,2025/4/14
7038,神奈子L0g,2025/4/15
12015,铃仙B1,2025/4/15
11032,爱丽丝C3<,2025/4/15
8057,纯狐L80,2025/4/22
7060,秋瓤子A10&,2025/4/29
6020,妹红C5=,2025/5/6
11010,幽幽子B5,2025/5/6
4031,大妖精A12.8&,2025/5/13
10030,琪露诺E7,2025/5/13
6012,莉莉A7&,2025/5/20
7024,白莲L80,2025/5/27
2088,蕾蒂H5,2025/5/27
27001,灵梦Cf1#,2025/6/3
1131,残无L1,2025/6/3
11048,萃香A7.5&,2025/6/10
1130,日狭美,2025/6/10
14006,帕秋莉A10.5,2025/6/17
26002,魔理沙Cz1#,2025/6/17
50004,油库里芙兰,2025/6/30
7005,咲夜C3,2025/7/1
16004,芙兰A17&,2025/7/8
13007,美铃A12.3,2025/7/8
12008,小恶魔A6&,2025/7/15
6037,早苗C3,2025/7/22
19003,蕾米莉亚E1,2025/7/22
6093,屠自古A13&,2025/7/29
1127,孙美天,2025/7/29
1128,惠之子,2025/7/29
1129,天火人,2025/7/29
11103,一轮A12&,2025/8/5
4091,神子L80,2025/8/12
17051,恋S5,2025/8/19
13037,早苗A19&,2025/8/26
